Wavel(nm)	T_abs	bandw(nm)
205.888408	0.000000	0.021197
205.909606	0.000000	0.021202
205.930807	0.000000	0.021206
205.952013	0.000000	0.021210
205.973223	0.000000	0.021215
205.994438	0.000000	0.021219
206.015657	0.000000	0.021223
206.036881	0.000000	0.021228
206.058108	0.000000	0.021232
206.079341	0.000000	0.021237
206.100577	0.000000	0.021241
206.121818	0.000000	0.021245
206.143063	0.000000	0.021250
206.164313	0.000000	0.021254
206.185567	0.000000	0.021258
206.206825	0.000000	0.021263
206.228088	0.000000	0.021267
206.249355	0.000000	0.021272
206.270627	0.000000	0.021276
206.291903	0.000000	0.021280
206.313183	0.000000	0.021285
206.334468	0.000000	0.021289
206.355757	0.000000	0.021294
206.377051	0.000000	0.021298
206.398349	0.000000	0.021302
206.419651	0.000000	0.021307
206.440958	0.000000	0.021311
206.462269	0.000000	0.021316
206.483585	0.000000	0.021320
206.504904	0.000000	0.021324
206.526229	0.000000	0.021329
206.547558	0.000000	0.021333
206.568891	0.000000	0.021338
206.590228	0.000000	0.021342
206.611570	0.000000	0.021346
206.632917	0.000000	0.021351
206.654267	0.000000	0.021355
206.675623	0.000000	0.021360
206.696982	0.000000	0.021364
206.718346	0.000000	0.021368
206.739715	0.000000	0.021373
206.761088	0.000000	0.021377
206.782465	0.000000	0.021382
206.803847	0.000000	0.021386
206.825233	0.000000	0.021391
206.846623	0.000000	0.021395
206.868018	0.000000	0.021399
206.889418	0.000000	0.021404
206.910821	0.000000	0.021408
206.932230	0.000000	0.021413
206.953642	0.000000	0.021417
206.975060	0.000000	0.021422
206.996481	0.000000	0.021426
207.017907	0.000000	0.021430
207.039337	0.000000	0.021435
207.060772	0.000000	0.021439
207.082212	0.000000	0.021444
207.103655	0.000000	0.021448
207.125104	0.000000	0.021453
207.146556	0.000000	0.021457
207.168013	0.000000	0.021462
207.189475	0.000000	0.021466
207.210941	0.000000	0.021470
207.232411	0.000000	0.021475
207.253886	0.000000	0.021479
207.275365	0.000000	0.021484
207.296849	0.000000	0.021488
207.318337	0.000000	0.021493
207.339830	0.000000	0.021497
207.361327	0.000000	0.021502
207.382829	0.000000	0.021506
207.404335	0.000000	0.021511
207.425845	0.000000	0.021515
207.447360	0.000000	0.021519
207.468880	0.000000	0.021524
207.490404	0.000000	0.021528
207.511932	0.000000	0.021533
207.533465	0.000000	0.021537
207.555002	0.000000	0.021542
207.576544	0.000000	0.021546
207.598090	0.000000	0.021551
207.619641	0.000000	0.021555
207.641196	0.000000	0.021560
207.662756	0.000000	0.021564
207.684320	0.000000	0.021569
207.705888	0.000000	0.021573
207.727462	0.000000	0.021578
207.749039	0.000000	0.021582
207.770621	0.000000	0.021587
207.792208	0.000000	0.021591
207.813799	0.000000	0.021596
207.835394	0.000000	0.021600
207.856994	0.000000	0.021605
207.878599	0.000000	0.021609
207.900208	0.000000	0.021613
207.921821	0.000000	0.021618
207.943439	0.000000	0.021622
207.965062	0.000000	0.021627
207.986689	0.000000	0.021631
208.008320	0.000000	0.021636
208.029956	0.000000	0.021640
208.051597	0.000000	0.021645
208.073242	0.000000	0.021649
208.094891	0.000000	0.021654
208.116545	0.000000	0.021659
208.138204	0.000000	0.021663
208.159867	0.000000	0.021668
208.181534	0.000000	0.021672
208.203206	0.000000	0.021677
208.224883	0.000000	0.021681
208.246564	0.000000	0.021686
208.268250	0.000000	0.021690
208.289940	0.000000	0.021695
208.311634	0.000000	0.021699
208.333333	0.000000	0.021704
208.355037	0.000000	0.021708
208.376745	0.000000	0.021713
208.398458	0.000000	0.021717
208.420175	0.000000	0.021722
208.441897	0.000000	0.021726
208.463623	0.000000	0.021731
208.485354	0.000000	0.021735
208.507089	0.000000	0.021740
208.528829	0.000000	0.021744
208.550574	0.000000	0.021749
208.572322	0.000000	0.021753
208.594076	0.000000	0.021758
208.615834	0.000000	0.021763
208.637596	0.000000	0.021767
208.659364	0.000000	0.021772
208.681135	0.000000	0.021776
208.702911	0.000000	0.021781
208.724692	0.000000	0.021785
208.746477	0.000000	0.021790
208.768267	0.000000	0.021794
208.790062	0.000000	0.021799
208.811861	0.000000	0.021803
208.833664	0.000000	0.021808
208.855472	0.000000	0.021813
208.877285	0.000000	0.021817
208.899102	0.000000	0.021822
208.920923	0.000000	0.021826
208.942750	0.000000	0.021831
208.964581	0.000000	0.021835
208.986416	0.000000	0.021840
209.008256	0.000000	0.021845
209.030100	0.000000	0.021849
209.051949	0.000000	0.021854
209.073803	0.000000	0.021858
209.095661	0.000000	0.021863
209.117524	0.000000	0.021867
209.139391	0.000000	0.021872
209.161263	0.000000	0.021877
209.183140	0.000000	0.021881
209.205021	0.000000	0.021886
209.226907	0.000000	0.021890
209.248797	0.000000	0.021895
209.270692	0.000000	0.021899
209.292591	0.000000	0.021904
209.314495	0.000000	0.021909
209.336404	0.000000	0.021913
209.358317	0.000000	0.021918
209.380235	0.000000	0.021922
209.402157	0.000000	0.021927
209.424084	0.000000	0.021932
209.446015	0.000000	0.021936
