stationid tempinfo preciptype precipq frozenprecipfreq press1 press2 press3 tempdry dewpt 
03103KFLG FLG2006061321210421  NP           0.00             39993   23.385  23.380  23.375    70   28          
03103KFLG FLG2006061321220422  NP           0.00             39992   23.385  23.380  23.375    70   28          
03103KFLG FLG2006061321230423  NP           0.00             39993   23.385  23.380  23.375    70   28          
03103KFLG FLG2006061321240424  NP           0.00             39993   23.385  23.380  23.375    70   28          
03103KFLG FLG2006061321250425  NP           0.00             39993   23.385  23.380  23.375    70   28          
03103KFLG FLG2006061321260426  NP           0.00             39993   23.385  23.380  23.375    70   28          
03103KFLG FLG2006061321270427  NP           0.00             39992   23.385  23.381  23.375    70   28          
03103KFLG FLG2006061321280428  NP           0.00             39992   23.385  23.380  23.375    70   28          
03103KFLG FLG2006061321290429  NP           0.00             39993   23.384  23.379  23.374    70   28          
03103KFLG FLG2006061321300430  NP           0.00             39992   23.385  23.380  23.375    70   28          
03103KFLG FLG2006061321310431  NP           0.00             39993   23.385  23.380  23.374    69   28          
03103KFLG FLG2006061321320432  NP           0.00             39992   23.385  23.381  23.375    70   28          
03103KFLG FLG2006061321330433  NP           0.00             39992   23.385  23.380  23.375    70   28          
03103KFLG FLG2006061321340434  NP           0.00             39992   23.385  23.380  23.375    70   28          
03103KFLG FLG2006061321350435  NP           0.00             39992   23.385  23.380  23.375    70   28          
03103KFLG FLG2006061321360436  NP           0.00             39992   23.385  23.380  23.375    70   28          
03103KFLG FLG2006061321370437  NP           0.00             39993   23.385  23.381  23.375    70   28          
03103KFLG FLG2006061321380438  NP           0.00             39993   23.386  23.381  23.376    70   28          
03103KFLG FLG2006061321390439  NP           0.00             39992   23.386  23.381  23.376    69   28          
03103KFLG FLG2006061321400440  NP           0.00             39993   23.386  23.381  23.376    69   28          
03103KFLG FLG2006061321410441  NP           0.00             39992   23.386  23.381  23.376    69   28          
03103KFLG FLG2006061321420442  NP           0.00             39992   23.386  23.381  23.376    70   28          
03103KFLG FLG2006061321430443  NP           0.00             39992   23.386  23.381  23.376    69   28          
03103KFLG FLG2006061321440444  NP           0.00             39993   23.386  23.381  23.376    70   28          
03103KFLG FLG2006061321450445  NP           0.00             39992   23.386  23.381  23.376    68   29          
